app,route,metric,median,p95,runs
hotwire,appointments_new,performance_score,97.00,97.00,5
hotwire,appointments_new,fcp,2107.76,2109.00,5
hotwire,appointments_new,lcp,2107.76,2109.00,5
hotwire,appointments_new,tbt,0.00,0.00,5
hotwire,appointments_new,speed_index,2107.76,2109.00,5
hotwire,appointments_new,cls,0.00,0.00,5
hotwire,appointments_new,total_byte_weight,180799.00,180811.00,5
hotwire,appointments,performance_score,96.00,97.00,5
hotwire,appointments,fcp,2255.73,2259.28,5
hotwire,appointments,lcp,2255.73,2259.28,5
hotwire,appointments,tbt,0.00,0.00,5
hotwire,appointments,speed_index,2255.73,2259.28,5
hotwire,appointments,cls,0.00,0.00,5
hotwire,appointments,total_byte_weight,206952.00,206956.00,5
hotwire,appointments_detail,performance_score,97.00,97.00,5
hotwire,appointments_detail,fcp,2106.45,2107.48,5
hotwire,appointments_detail,lcp,2106.45,2107.48,5
hotwire,appointments_detail,tbt,0.00,0.00,5
hotwire,appointments_detail,speed_index,2106.45,2107.48,5
hotwire,appointments_detail,cls,0.00,0.00,5
hotwire,appointments_detail,total_byte_weight,179471.00,179487.00,5
vue,appointments,performance_score,100.00,100.00,1
vue,appointments,fcp,1054.84,1054.84,1
vue,appointments,lcp,1586.66,1586.66,1
vue,appointments,tbt,14.00,14.00,1
vue,appointments,speed_index,1054.84,1054.84,1
vue,appointments,cls,0.00,0.00,1
vue,appointments,total_byte_weight,51671.00,51671.00,1
